"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"556",33,1,"Top5","PowerSchool","Eastern"
"557",37.6,2,"Top5","OtherCollege","Western"
"558",34.2,3,"Top5","PowerSchool","Western"
"559",33.4,4,"Top5","OtherCollege","Western"
"560",14.7,5,"Top5","NonCollegiate","Eastern"
"561",30.8,6,"Lottery","OtherCollege","Western"
"562",32.1,7,"Lottery","PowerSchool","Eastern"
"563",30.9,8,"Lottery","OtherCollege","Eastern"
"564",34.5,9,"Lottery","OtherCollege","Western"
"565",29.8,10,"Lottery","OtherCollege","Eastern"
"566",14.6,11,"Lottery","PowerSchool","Eastern"
"567",10.1,12,"Lottery","OtherCollege","Eastern"
"568",28.2,13,"Lottery","PowerSchool","Western"
"569",8.5,14,"Lottery","PowerSchool","Western"
"571",31.7,16,"MidtoLateFirst","OtherCollege","Eastern"
"572",9.7,17,"MidtoLateFirst","OtherCollege","Eastern"
"573",26.9,18,"MidtoLateFirst","OtherCollege","Western"
"574",11.7,19,"MidtoLateFirst","OtherCollege","Western"
"575",20.9,20,"MidtoLateFirst","OtherCollege","Eastern"
"576",20.6,21,"MidtoLateFirst","OtherCollege","Western"
"577",27.4,22,"MidtoLateFirst","OtherCollege","Western"
"578",18.5,23,"MidtoLateFirst","OtherCollege","Western"
"579",30,24,"MidtoLateFirst","NonCollegiate","Western"
"580",6.1,25,"MidtoLateFirst","OtherCollege","Eastern"
"581",19,26,"MidtoLateFirst","OtherCollege","Eastern"
"582",20.8,27,"MidtoLateFirst","OtherCollege","Eastern"
"583",12.5,28,"MidtoLateFirst","PowerSchool","Western"
"584",6.9,29,"MidtoLateFirst","NonCollegiate","Western"
"585",11.6,30,"MidtoLateFirst","PowerSchool","Western"
"587",14.4,32,"SecondRound","OtherCollege","Eastern"
"588",14.4,33,"SecondRound","OtherCollege","Western"
"589",14,34,"SecondRound","OtherCollege","Eastern"
"590",12.2,35,"SecondRound","OtherCollege","Eastern"
"591",9.2,36,"SecondRound","NonCollegiate","Western"
"592",10.6,37,"SecondRound","OtherCollege","Western"
"593",11.4,38,"SecondRound","OtherCollege","Eastern"
"594",7.6,39,"SecondRound","OtherCollege","Eastern"
"595",23,40,"SecondRound","NonCollegiate","Western"
"596",15.3,41,"SecondRound","OtherCollege","Western"
"598",19,43,"SecondRound","OtherCollege","Western"
"600",25,45,"SecondRound","PowerSchool","Western"
"602",15.4,47,"SecondRound","OtherCollege","Eastern"
"604",5.6,49,"SecondRound","OtherCollege","Eastern"
"608",18.2,53,"SecondRound","OtherCollege","Eastern"
"611",5.5,56,"SecondRound","OtherCollege","Western"
"612",25.4,57,"SecondRound","NonCollegiate","Western"
"614",30.6,1,"Top5","PowerSchool","Eastern"
"615",19.8,2,"Top5","OtherCollege","Western"
"616",26.3,3,"Top5","NonCollegiate","Western"
"617",20.9,4,"Top5","OtherCollege","Eastern"
"618",26.9,5,"Top5","OtherCollege","Eastern"
"619",17.2,6,"Lottery","PowerSchool","Eastern"
"620",20.1,7,"Lottery","OtherCollege","Eastern"
"621",29.4,8,"Lottery","OtherCollege","Eastern"
"622",19.8,9,"Lottery","OtherCollege","Western"
"623",19.4,10,"Lottery","OtherCollege","Eastern"
"624",9.6,11,"Lottery","PowerSchool","Eastern"
"625",17.3,12,"Lottery","OtherCollege","Western"
"626",21.7,13,"Lottery","OtherCollege","Eastern"
"627",11.2,14,"Lottery","OtherCollege","Eastern"
"628",14.4,15,"MidtoLateFirst","OtherCollege","Eastern"
"629",26.8,16,"MidtoLateFirst","NonCollegiate","Western"
"630",30.5,17,"MidtoLateFirst","OtherCollege","Western"
"631",26.5,18,"MidtoLateFirst","OtherCollege","Western"
"632",21.5,19,"MidtoLateFirst","PowerSchool","Western"
"633",25.6,20,"MidtoLateFirst","OtherCollege","Eastern"
"634",27.2,21,"MidtoLateFirst","OtherCollege","Eastern"
"635",16.2,22,"MidtoLateFirst","OtherCollege","Eastern"
"636",22.3,23,"MidtoLateFirst","NonCollegiate","Western"
"637",10.2,24,"MidtoLateFirst","NonCollegiate","Eastern"
"638",15.9,25,"MidtoLateFirst","NonCollegiate","Western"
"639",12.4,26,"MidtoLateFirst","OtherCollege","Western"
"640",18.1,27,"MidtoLateFirst","NonCollegiate","Eastern"
"641",9.9,28,"MidtoLateFirst","OtherCollege","Western"
"642",11.8,29,"MidtoLateFirst","OtherCollege","Western"
"643",25.2,30,"MidtoLateFirst","NonCollegiate","Western"
"644",9.4,31,"SecondRound","OtherCollege","Western"
"645",15.6,32,"SecondRound","PowerSchool","Eastern"
"646",14.3,33,"SecondRound","PowerSchool","Eastern"
"647",18.7,34,"SecondRound","PowerSchool","Eastern"
"648",10.6,35,"SecondRound","OtherCollege","Eastern"
"649",6.4,36,"SecondRound","NonCollegiate","Eastern"
"650",17.3,37,"SecondRound","OtherCollege","Eastern"
"651",18.1,38,"SecondRound","OtherCollege","Western"
"652",7.3,39,"SecondRound","OtherCollege","Eastern"
"653",15.2,40,"SecondRound","OtherCollege","Eastern"
"655",6.3,42,"SecondRound","NonCollegiate","Western"
"656",32,43,"SecondRound","OtherCollege","Eastern"
"657",14.2,44,"SecondRound","OtherCollege","Eastern"
"658",9.8,45,"SecondRound","OtherCollege","Western"
"662",15.5,49,"SecondRound","OtherCollege","Eastern"
"663",4.5,50,"SecondRound","OtherCollege","Western"
"664",5.8,51,"SecondRound","NonCollegiate","Western"
"665",7,52,"SecondRound","OtherCollege","Eastern"
"666",9.7,53,"SecondRound","OtherCollege","Western"
"668",22.5,55,"SecondRound","OtherCollege","Western"
"672",22.1,1,"Top5","NonCollegiate","Eastern"
"673",27.3,2,"Top5","NonCollegiate","Western"
"674",33.4,3,"Top5","NonCollegiate","Eastern"
"675",24.9,4,"Top5","NonCollegiate","Eastern"
"676",34.1,5,"Top5","OtherCollege","Western"
"677",30.7,6,"Lottery","PowerSchool","Western"
"678",22.2,7,"Lottery","OtherCollege","Eastern"
"679",14,8,"Lottery","NonCollegiate","Eastern"
"680",15.4,9,"Lottery","OtherCollege","Eastern"
"681",34.6,10,"Lottery","OtherCollege","Eastern"
"682",13.5,11,"Lottery","OtherCollege","Eastern"
"683",21.9,12,"Lottery","NonCollegiate","Western"
"684",29,13,"Lottery","OtherCollege","Western"
"685",27.3,14,"Lottery","OtherCollege","Western"
"686",15,15,"MidtoLateFirst","OtherCollege","Eastern"
"687",5,16,"MidtoLateFirst","PowerSchool","Western"
"688",11.7,17,"MidtoLateFirst","PowerSchool","Eastern"
"689",20.4,18,"MidtoLateFirst","OtherCollege","Western"
"690",31,19,"MidtoLateFirst","OtherCollege","Western"
"691",22.9,20,"MidtoLateFirst","OtherCollege","Eastern"
"692",5,21,"MidtoLateFirst","OtherCollege","Eastern"
"693",12.9,22,"MidtoLateFirst","OtherCollege","Eastern"
"694",6.5,23,"MidtoLateFirst","OtherCollege","Western"
"695",18.9,24,"MidtoLateFirst","NonCollegiate","Western"
"696",29.7,25,"MidtoLateFirst","OtherCollege","Western"
"697",24.4,26,"MidtoLateFirst","OtherCollege","Eastern"
"698",26.4,27,"MidtoLateFirst","OtherCollege","Western"
"699",30.5,28,"MidtoLateFirst","NonCollegiate","Western"
"700",25.3,30,"MidtoLateFirst","OtherCollege","Eastern"
"701",35.1,31,"SecondRound","OtherCollege","Western"
"702",9.7,32,"SecondRound","OtherCollege","Eastern"
"703",13.8,33,"SecondRound","OtherCollege","Western"
"704",13.9,34,"SecondRound","OtherCollege","Eastern"
"705",13,35,"SecondRound","OtherCollege","Eastern"
"706",8.7,36,"SecondRound","OtherCollege","Eastern"
"707",9,37,"SecondRound","OtherCollege","Eastern"
"708",29.1,38,"SecondRound","NonCollegiate","Eastern"
"710",22.2,40,"SecondRound","PowerSchool","Western"
"711",8.7,41,"SecondRound","OtherCollege","Eastern"
"712",24.7,42,"SecondRound","OtherCollege","Western"
"715",12.2,45,"SecondRound","OtherCollege","Eastern"
"716",11.3,46,"SecondRound","OtherCollege","Western"
"718",11.4,48,"SecondRound","NonCollegiate","Western"
"719",9.8,49,"SecondRound","OtherCollege","Eastern"
"720",6.3,50,"SecondRound","OtherCollege","Western"
"721",7.2,51,"SecondRound","OtherCollege","Western"
"723",15.8,53,"SecondRound","OtherCollege","Western"
"724",14.2,54,"SecondRound","PowerSchool","Western"
"727",5.5,57,"SecondRound","OtherCollege","Eastern"
"729",32.5,1,"Top5","NonCollegiate","Western"
"730",26.1,2,"Top5","PowerSchool","Eastern"
"731",27.7,3,"Top5","PowerSchool","Western"
"732",25.5,4,"Top5","PowerSchool","Western"
"733",11.3,5,"Top5","NonCollegiate","Western"
"734",21.4,6,"Lottery","OtherCollege","Eastern"
"735",26.2,7,"Lottery","NonCollegiate","Eastern"
"736",19.9,8,"Lottery","OtherCollege","Western"
"737",31,9,"Lottery","NonCollegiate","Western"
"738",32.2,10,"Lottery","PowerSchool","Eastern"
"739",21.6,11,"Lottery","PowerSchool","Eastern"
"740",16,12,"Lottery","OtherCollege","Western"
"741",9.6,13,"Lottery","OtherCollege","Eastern"
"742",24,14,"Lottery","OtherCollege","Eastern"
"743",17.8,15,"MidtoLateFirst","NonCollegiate","Western"
"744",18.6,16,"MidtoLateFirst","NonCollegiate","Eastern"
"745",19.5,17,"MidtoLateFirst","OtherCollege","Eastern"
"746",13.5,18,"MidtoLateFirst","OtherCollege","Eastern"
"747",9.1,19,"MidtoLateFirst","OtherCollege","Western"
"748",17.2,20,"MidtoLateFirst","OtherCollege","Eastern"
"749",12.3,21,"MidtoLateFirst","OtherCollege","Western"
"750",18.5,22,"MidtoLateFirst","OtherCollege","Western"
"751",31,23,"MidtoLateFirst","PowerSchool","Eastern"
"752",25.2,24,"MidtoLateFirst","NonCollegiate","Eastern"
"753",11.1,25,"MidtoLateFirst","OtherCollege","Western"
"754",26.4,26,"MidtoLateFirst","OtherCollege","Western"
"755",12,27,"MidtoLateFirst","OtherCollege","Western"
"756",15.4,28,"MidtoLateFirst","OtherCollege","Western"
"758",17.7,31,"SecondRound","OtherCollege","Eastern"
"759",7.5,32,"SecondRound","OtherCollege","Western"
"760",23.4,33,"SecondRound","OtherCollege","Western"
"761",14.8,34,"SecondRound","PowerSchool","Eastern"
"762",31.2,35,"SecondRound","PowerSchool","Eastern"
"764",12.3,37,"SecondRound","NonCollegiate","Eastern"
"765",3.9,38,"SecondRound","OtherCollege","Western"
"767",25.8,40,"SecondRound","NonCollegiate","Eastern"
"768",7.8,41,"SecondRound","NonCollegiate","Western"
"769",22.7,42,"SecondRound","OtherCollege","Eastern"
"771",11.6,44,"SecondRound","OtherCollege","Eastern"
"773",23.6,46,"SecondRound","PowerSchool","Western"
"774",8.8,47,"SecondRound","OtherCollege","Western"
"775",6,48,"SecondRound","OtherCollege","Eastern"
"777",18.6,50,"SecondRound","OtherCollege","Eastern"
"780",21.3,53,"SecondRound","OtherCollege","Eastern"
"781",7.8,54,"SecondRound","OtherCollege","Eastern"
"783",25.6,56,"SecondRound","NonCollegiate","Western"
"784",2.8,57,"SecondRound","OtherCollege","Western"
"785",11,58,"SecondRound","OtherCollege","Western"
"786",38.2,1,"Top5","NonCollegiate","Eastern"
"787",18.5,2,"Top5","NonCollegiate","Eastern"
"788",34.5,3,"Top5","OtherCollege","Western"
"789",35.8,4,"Top5","OtherCollege","Eastern"
"790",33.9,5,"Top5","OtherCollege","Eastern"
"791",26.7,6,"Lottery","OtherCollege","Western"
"792",30.7,7,"Lottery","PowerSchool","Eastern"
"793",27.7,8,"Lottery","OtherCollege","Eastern"
"794",15.5,9,"Lottery","OtherCollege","Eastern"
"795",23.2,10,"Lottery","OtherCollege","Eastern"
"796",21.5,11,"Lottery","NonCollegiate","Western"
"797",20.4,12,"Lottery","PowerSchool","Western"
"798",16,13,"Lottery","OtherCollege","Western"
"799",26.1,14,"Lottery","OtherCollege","Western"
"800",8.5,15,"MidtoLateFirst","PowerSchool","Eastern"
"801",5.7,16,"MidtoLateFirst","OtherCollege","Eastern"
"802",10.3,17,"MidtoLateFirst","NonCollegiate","Western"
"803",28.2,18,"MidtoLateFirst","OtherCollege","Western"
"804",15.7,19,"MidtoLateFirst","NonCollegiate","Western"
"805",15.7,20,"MidtoLateFirst","PowerSchool","Eastern"
"806",27,21,"MidtoLateFirst","NonCollegiate","Eastern"
"807",10.7,22,"MidtoLateFirst","NonCollegiate","Eastern"
"808",20.9,23,"MidtoLateFirst","NonCollegiate","Western"
"809",13.4,24,"MidtoLateFirst","OtherCollege","Western"
"810",22.8,25,"MidtoLateFirst","NonCollegiate","Eastern"
"811",4.5,26,"MidtoLateFirst","NonCollegiate","Western"
"812",21.9,27,"MidtoLateFirst","NonCollegiate","Western"
"813",21.6,28,"MidtoLateFirst","NonCollegiate","Western"
"814",30.3,29,"MidtoLateFirst","OtherCollege","Western"
"815",9.9,30,"MidtoLateFirst","NonCollegiate","Eastern"
"816",17.8,31,"SecondRound","PowerSchool","Eastern"
"817",17.2,32,"SecondRound","OtherCollege","Western"
"818",2.5,33,"SecondRound","OtherCollege","Eastern"
"822",12.4,37,"SecondRound","OtherCollege","Eastern"
"823",23.9,38,"SecondRound","OtherCollege","Eastern"
"824",3,39,"SecondRound","NonCollegiate","Eastern"
"825",16,40,"SecondRound","OtherCollege","Western"
"826",20.2,41,"SecondRound","OtherCollege","Western"
"827",20.3,42,"SecondRound","NonCollegiate","Eastern"
"828",21.6,43,"SecondRound","PowerSchool","Eastern"
"830",16.9,45,"SecondRound","OtherCollege","Eastern"
"832",29.2,47,"SecondRound","OtherCollege","Western"
"833",5,48,"SecondRound","NonCollegiate","Western"
"834",15.7,49,"SecondRound","OtherCollege","Eastern"
"836",25.3,51,"SecondRound","OtherCollege","Eastern"
"841",9.4,56,"SecondRound","OtherCollege","Eastern"
"843",6.2,58,"SecondRound","NonCollegiate","Eastern"
"844",31.8,1,"Top5","NonCollegiate","Eastern"
"845",30.9,2,"Top5","PowerSchool","Eastern"
"846",27.4,3,"Top5","PowerSchool","Eastern"
"847",20.6,4,"Top5","NonCollegiate","Western"
"848",24.3,5,"Top5","OtherCollege","Eastern"
"849",26.7,6,"Lottery","OtherCollege","Eastern"
"850",34.3,7,"Lottery","PowerSchool","Western"
"851",11.4,8,"Lottery","OtherCollege","Eastern"
"852",32.2,9,"Lottery","OtherCollege","Eastern"
"853",9.9,10,"Lottery","OtherCollege","Eastern"
"854",21.6,11,"Lottery","NonCollegiate","Western"
"855",15.5,12,"Lottery","NonCollegiate","Western"
"856",21.5,13,"Lottery","NonCollegiate","Western"
"857",17.8,14,"Lottery","OtherCollege","Western"
"858",28.7,15,"MidtoLateFirst","NonCollegiate","Eastern"
"859",16.8,16,"MidtoLateFirst","OtherCollege","Western"
"860",32.4,17,"MidtoLateFirst","NonCollegiate","Eastern"
"861",26.9,18,"MidtoLateFirst","NonCollegiate","Western"
"862",22.4,19,"MidtoLateFirst","NonCollegiate","Eastern"
"863",27.9,20,"MidtoLateFirst","OtherCollege","Western"
"864",4.7,21,"MidtoLateFirst","NonCollegiate","Western"
"865",16.4,22,"MidtoLateFirst","NonCollegiate","Eastern"
"866",13.2,23,"MidtoLateFirst","NonCollegiate","Western"
"867",27.4,24,"MidtoLateFirst","OtherCollege","Eastern"
"868",22,25,"MidtoLateFirst","OtherCollege","Eastern"
"869",30.2,26,"MidtoLateFirst","OtherCollege","Western"
"870",15.3,27,"MidtoLateFirst","NonCollegiate","Western"
"871",21.9,28,"MidtoLateFirst","NonCollegiate","Western"
"872",14.2,29,"MidtoLateFirst","OtherCollege","Eastern"
"873",23.9,30,"MidtoLateFirst","NonCollegiate","Eastern"
"874",12.8,31,"SecondRound","OtherCollege","Eastern"
"875",3.3,32,"SecondRound","NonCollegiate","Eastern"
"876",12,33,"SecondRound","OtherCollege","Western"
"877",9.2,34,"SecondRound","OtherCollege","Eastern"
"878",5.2,35,"SecondRound","OtherCollege","Western"
"879",9.7,36,"SecondRound","OtherCollege","Eastern"
"880",12.5,37,"SecondRound","OtherCollege","Eastern"
"881",25.6,38,"SecondRound","PowerSchool","Eastern"
"883",10.6,40,"SecondRound","OtherCollege","Eastern"
"886",29.5,43,"SecondRound","PowerSchool","Eastern"
"888",14.9,45,"SecondRound","OtherCollege","Eastern"
"889",6.9,46,"SecondRound","NonCollegiate","Western"
"890",11.6,47,"SecondRound","OtherCollege","Eastern"
"893",8.8,50,"SecondRound","NonCollegiate","Western"
"896",14,53,"SecondRound","OtherCollege","Eastern"
"898",4.8,55,"SecondRound","OtherCollege","Western"
"903",28.1,1,"Top5","OtherCollege","Eastern"
"904",28.1,2,"Top5","OtherCollege","Eastern"
"905",34.2,3,"Top5","OtherCollege","Western"
"906",34.5,4,"Top5","OtherCollege","Western"
"907",29.7,5,"Top5","OtherCollege","Eastern"
"908",24,6,"Lottery","NonCollegiate","Western"
"909",20.7,7,"Lottery","PowerSchool","Eastern"
"910",22.2,8,"Lottery","OtherCollege","Eastern"
"911",12.4,9,"Lottery","OtherCollege","Western"
"912",25.6,10,"Lottery","NonCollegiate","Western"
"914",4.9,12,"Lottery","NonCollegiate","Western"
"915",15.7,13,"Lottery","OtherCollege","Eastern"
"916",20.2,14,"Lottery","OtherCollege","Western"
"917",19.2,15,"MidtoLateFirst","OtherCollege","Eastern"
"918",16.2,16,"MidtoLateFirst","OtherCollege","Eastern"
"919",31.5,17,"MidtoLateFirst","OtherCollege","Eastern"
"920",19.8,18,"MidtoLateFirst","NonCollegiate","Eastern"
"921",20.2,19,"MidtoLateFirst","OtherCollege","Western"
"922",4.3,20,"MidtoLateFirst","OtherCollege","Western"
"923",22.5,21,"MidtoLateFirst","OtherCollege","Western"
"924",27.8,22,"MidtoLateFirst","OtherCollege","Western"
"925",21.6,23,"MidtoLateFirst","PowerSchool","Western"
"926",22.4,24,"MidtoLateFirst","OtherCollege","Western"
"927",15.4,25,"MidtoLateFirst","NonCollegiate","Western"
"928",18.4,26,"MidtoLateFirst","PowerSchool","Eastern"
"929",20,27,"MidtoLateFirst","OtherCollege","Western"
"930",16.8,28,"MidtoLateFirst","NonCollegiate","Western"
"931",9.9,29,"MidtoLateFirst","PowerSchool","Eastern"
"932",29.3,30,"MidtoLateFirst","OtherCollege","Eastern"
"933",17,31,"SecondRound","OtherCollege","Eastern"
"934",13.3,32,"SecondRound","PowerSchool","Western"
"935",21.6,33,"SecondRound","OtherCollege","Western"
"936",20.4,34,"SecondRound","NonCollegiate","Western"
"938",23,36,"SecondRound","NonCollegiate","Eastern"
"939",17,37,"SecondRound","OtherCollege","Western"
"940",14.9,38,"SecondRound","OtherCollege","Eastern"
"941",12.4,39,"SecondRound","OtherCollege","Western"
"942",34.8,40,"SecondRound","NonCollegiate","Western"
"943",11.6,41,"SecondRound","NonCollegiate","Eastern"
"944",8.5,42,"SecondRound","OtherCollege","Western"
"945",1.2,43,"SecondRound","NonCollegiate","Eastern"
"946",1.5,44,"SecondRound","NonCollegiate","Eastern"
"947",24.1,45,"SecondRound","NonCollegiate","Eastern"
"949",12.5,47,"SecondRound","PowerSchool","Western"
"950",16.2,48,"SecondRound","NonCollegiate","Western"
"951",22.1,49,"SecondRound","NonCollegiate","Eastern"
"952",27.6,50,"SecondRound","OtherCollege","Eastern"
"953",9.2,51,"SecondRound","OtherCollege","Western"
"955",11.9,53,"SecondRound","OtherCollege","Eastern"
"956",5.8,54,"SecondRound","PowerSchool","Eastern"
"957",13.2,55,"SecondRound","OtherCollege","Western"
"958",21.1,56,"SecondRound","NonCollegiate","Eastern"
"959",25.7,57,"SecondRound","NonCollegiate","Western"
"960",3.6,58,"SecondRound","NonCollegiate","Eastern"
"962",7.8,60,"SecondRound","OtherCollege","Eastern"
"963",28.7,1,"Top5","NonCollegiate","Eastern"
"964",33.7,2,"Top5","OtherCollege","Eastern"
"965",20.4,3,"Top5","OtherCollege","Eastern"
"966",19.7,4,"Top5","OtherCollege","Western"
"967",15.5,5,"Top5","PowerSchool","Eastern"
"968",35.5,6,"Lottery","OtherCollege","Western"
"969",25.6,7,"Lottery","PowerSchool","Eastern"
"970",31.7,8,"Lottery","PowerSchool","Western"
"971",5.8,9,"Lottery","OtherCollege","Western"
"972",5.5,10,"Lottery","NonCollegiate","Western"
"973",25.5,11,"Lottery","PowerSchool","Eastern"
"974",11.6,12,"Lottery","PowerSchool","Western"
"975",21.9,13,"Lottery","NonCollegiate","Eastern"
"976",23,14,"Lottery","OtherCollege","Western"
"977",9.4,15,"MidtoLateFirst","OtherCollege","Western"
"978",15.4,16,"MidtoLateFirst","OtherCollege","Eastern"
"979",17.1,17,"MidtoLateFirst","OtherCollege","Eastern"
"980",9.4,18,"MidtoLateFirst","NonCollegiate","Eastern"
"981",10.7,19,"MidtoLateFirst","OtherCollege","Western"
"982",13.9,20,"MidtoLateFirst","OtherCollege","Eastern"
"983",29.9,21,"MidtoLateFirst","PowerSchool","Western"
"984",15.2,22,"MidtoLateFirst","PowerSchool","Eastern"
"985",17.5,23,"MidtoLateFirst","PowerSchool","Eastern"
"986",31.9,24,"MidtoLateFirst","PowerSchool","Western"
"987",18,25,"MidtoLateFirst","OtherCollege","Eastern"
"988",19.5,26,"MidtoLateFirst","PowerSchool","Western"
"989",15,27,"MidtoLateFirst","NonCollegiate","Western"
"990",6.2,28,"MidtoLateFirst","OtherCollege","Western"
"991",14.7,29,"MidtoLateFirst","OtherCollege","Eastern"
"992",12.1,30,"MidtoLateFirst","NonCollegiate","Western"
"993",8.7,31,"SecondRound","PowerSchool","Western"
"994",12.1,32,"SecondRound","OtherCollege","Western"
"995",11,33,"SecondRound","OtherCollege","Eastern"
"996",8.6,34,"SecondRound","OtherCollege","Western"
"997",29,35,"SecondRound","OtherCollege","Eastern"
"998",16.9,36,"SecondRound","OtherCollege","Western"
"999",9.5,37,"SecondRound","OtherCollege","Western"
"1000",5.4,38,"SecondRound","NonCollegiate","Western"
"1001",11.6,39,"SecondRound","OtherCollege","Eastern"
"1003",5.8,41,"SecondRound","OtherCollege","Eastern"
"1004",23.5,42,"SecondRound","OtherCollege","Eastern"
"1005",6.6,43,"SecondRound","NonCollegiate","Western"
"1007",12.8,45,"SecondRound","OtherCollege","Eastern"
"1008",10.5,46,"SecondRound","OtherCollege","Western"
"1009",28.1,47,"SecondRound","OtherCollege","Western"
"1011",13.9,49,"SecondRound","OtherCollege","Western"
"1012",11.8,50,"SecondRound","PowerSchool","Eastern"
"1013",5.2,51,"SecondRound","NonCollegiate","Western"
"1014",3,52,"SecondRound","OtherCollege","Western"
"1016",7.5,54,"SecondRound","OtherCollege","Eastern"
"1021",5.7,59,"SecondRound","NonCollegiate","Western"
"1022",11.9,60,"SecondRound","OtherCollege","Eastern"
"1023",19.3,1,"Top5","OtherCollege","Western"
"1024",36.8,2,"Top5","OtherCollege","Western"
"1025",32.2,3,"Top5","OtherCollege","Eastern"
"1026",32,4,"Top5","OtherCollege","Western"
"1027",29,5,"Top5","OtherCollege","Eastern"
"1028",22.2,6,"Lottery","NonCollegiate","Eastern"
"1029",22.9,7,"Lottery","OtherCollege","Western"
"1030",16.2,8,"Lottery","OtherCollege","Eastern"
"1031",27.7,9,"Lottery","OtherCollege","Eastern"
"1032",22.7,10,"Lottery","OtherCollege","Western"
"1033",12.7,11,"Lottery","OtherCollege","Eastern"
"1034",29.3,12,"Lottery","OtherCollege","Eastern"
"1035",13.2,13,"Lottery","PowerSchool","Western"
"1036",28,14,"Lottery","OtherCollege","Western"
"1037",27.5,15,"MidtoLateFirst","OtherCollege","Eastern"
"1038",22.8,16,"MidtoLateFirst","OtherCollege","Eastern"
"1039",14.4,17,"MidtoLateFirst","OtherCollege","Eastern"
"1040",22.7,18,"MidtoLateFirst","NonCollegiate","Western"
"1041",16.4,19,"MidtoLateFirst","OtherCollege","Western"
"1042",16.3,20,"MidtoLateFirst","OtherCollege","Eastern"
"1043",18.3,21,"MidtoLateFirst","OtherCollege","Eastern"
"1044",22.3,22,"MidtoLateFirst","OtherCollege","Eastern"
"1045",30,23,"MidtoLateFirst","OtherCollege","Eastern"
"1046",24,24,"MidtoLateFirst","NonCollegiate","Western"
"1047",9.5,25,"MidtoLateFirst","OtherCollege","Western"
"1048",20.8,26,"MidtoLateFirst","OtherCollege","Western"
"1049",27.3,27,"MidtoLateFirst","PowerSchool","Eastern"
"1050",19.2,28,"MidtoLateFirst","NonCollegiate","Western"
"1051",8.4,29,"MidtoLateFirst","OtherCollege","Western"
"1053",22.5,31,"SecondRound","OtherCollege","Western"
"1054",7.4,32,"SecondRound","OtherCollege","Eastern"
"1055",3,33,"SecondRound","OtherCollege","Western"
"1056",10.3,34,"SecondRound","OtherCollege","Western"
"1057",21.1,35,"SecondRound","OtherCollege","Western"
"1058",8.3,36,"SecondRound","OtherCollege","Western"
"1059",19.1,37,"SecondRound","PowerSchool","Western"
"1060",8.2,38,"SecondRound","NonCollegiate","Eastern"
"1062",2.8,40,"SecondRound","NonCollegiate","Western"
"1063",11.1,41,"SecondRound","OtherCollege","Western"
"1064",18.5,42,"SecondRound","OtherCollege","Western"
"1068",18.9,46,"SecondRound","OtherCollege","Western"
"1069",15.6,47,"SecondRound","OtherCollege","Eastern"
"1070",32.2,48,"SecondRound","NonCollegiate","Western"
"1071",12.1,49,"SecondRound","OtherCollege","Eastern"
"1073",0,51,"SecondRound","OtherCollege","Eastern"
"1074",4.4,52,"SecondRound","OtherCollege","Western"
"1075",3.2,53,"SecondRound","OtherCollege","Western"
"1078",23.3,56,"SecondRound","OtherCollege","Eastern"
"1081",8.2,59,"SecondRound","OtherCollege","Western"
"1083",31.7,1,"Top5","OtherCollege","Eastern"
"1084",22.8,2,"Top5","OtherCollege","Eastern"
"1085",30.9,3,"Top5","OtherCollege","Western"
"1086",34.7,4,"Top5","PowerSchool","Western"
"1087",30.9,5,"Top5","PowerSchool","Western"
"1088",29.9,6,"Lottery","NonCollegiate","Eastern"
"1089",32.4,7,"Lottery","PowerSchool","Western"
"1090",11.1,8,"Lottery","OtherCollege","Eastern"
"1091",23.4,9,"Lottery","OtherCollege","Eastern"
"1092",30.2,10,"Lottery","OtherCollege","Eastern"
"1093",21.3,11,"Lottery","OtherCollege","Eastern"
"1094",25.2,12,"Lottery","OtherCollege","Western"
"1095",22,13,"Lottery","PowerSchool","Western"
"1096",15.2,14,"Lottery","OtherCollege","Western"
"1097",21.9,15,"MidtoLateFirst","OtherCollege","Western"
"1098",15.1,16,"MidtoLateFirst","OtherCollege","Eastern"
"1099",24.8,17,"MidtoLateFirst","OtherCollege","Eastern"
"1100",17,18,"MidtoLateFirst","OtherCollege","Eastern"
"1101",22.3,19,"MidtoLateFirst","OtherCollege","Eastern"
"1102",13.3,20,"MidtoLateFirst","NonCollegiate","Eastern"
"1103",25.8,21,"MidtoLateFirst","OtherCollege","Eastern"
"1104",27.1,22,"MidtoLateFirst","OtherCollege","Eastern"
"1105",16.4,23,"MidtoLateFirst","OtherCollege","Western"
"1106",27.6,24,"MidtoLateFirst","NonCollegiate","Western"
"1107",30.6,25,"MidtoLateFirst","NonCollegiate","Western"
"1108",27.2,26,"MidtoLateFirst","OtherCollege","Western"
"1109",17.8,27,"MidtoLateFirst","PowerSchool","Western"
"1110",16.8,28,"MidtoLateFirst","OtherCollege","Western"
"1111",15.3,29,"MidtoLateFirst","PowerSchool","Eastern"
"1112",6.5,30,"MidtoLateFirst","OtherCollege","Eastern"
"1113",24.9,31,"SecondRound","NonCollegiate","Western"
"1114",2.5,32,"SecondRound","OtherCollege","Western"
"1115",11.4,33,"SecondRound","OtherCollege","Western"
"1116",26.7,34,"SecondRound","PowerSchool","Western"
"1117",26.7,35,"SecondRound","OtherCollege","Western"
"1118",19.6,36,"SecondRound","NonCollegiate","Western"
"1119",23.3,37,"SecondRound","PowerSchool","Eastern"
